% Model:              ModalMasses.mph
% Version:            COMSOL 4.2.1.110
% Date:               May 31 2012, 15:01
% Table:              Table 1 - Global Evaluation 1 (intop1(solid.rho*solid.disp^2))
% Eigenfrequency                                  intop1(solid.rho*solid.disp^2)
0.0014203318061296298i                            2.014622876471295
585.747437683654                                  2.2141937189721506
694.8041395466646                                 1.6157849863475047
1124.1700960461212                                1.308414929109106
1423.1585642807847                                2.5766412552243363
1711.143730211119                                 3.571322454196102
1880.428727540187                                 1.7834590780318638
2063.115645608141                                 1.1706649715072375
2438.678917095571                                 2.4384632926184695
2577.1397199353737                                1.6528945443994003
2829.3964492879877                                1.962011197239441
2856.175060333229                                 1.662899923730588
3601.4993017601937                                2.828493875074979
4039.9693591683113                                1.83533291893492
5117.167034566054                                 4.099855087394573
5442.256009323301                                 2.3189665972379636
5493.761186057144                                 2.0389300323314985
5562.619110274648                                 2.0964643686537876
6351.550848191616                                 1.1919695970762851
6904.926030604685                                 2.2874320605181984
